LEVEL2,LEVEL1,ALTERNATIVE,STATUS,STATUS NOTE,ITEMID,MIMIC LABEL,UNITNAME,LINKSTO,COUNT,CATEGORY,CONCEPTID,FLUID,LOINC_CODE,DBSOURCE,Unnamed: 15,PARAM_TYPE,NOTE
,,Midline placed in outside facility,,,226112,Midline placed in outside facility,,chartevents,6207,Access Lines - Invasive,,,,metavision,,Checkbox,
,,Ostomy (output),,,226582,Ostomy (output),mL,outputevents,6066,Output,,,,metavision,,Numeric,
,,Pre-Admission,,,226633,Pre-Admission,mL,outputevents,5980,Output,,,,metavision,,Numeric,
,,,,,51294,TARGET CELLS,,labevents,5806,HEMATOLOGY,,BLOOD,10381-2,,,,
,,ICU Consent Signed,,,226185,ICU Consent Signed,,chartevents,5783,General,,,,metavision,,Checkbox,
,,Condom Cath,,,226561,Condom Cath,mL,outputevents,5757,Output,,,,metavision,,Numeric,
,,ETT Position Change,,,227809,ETT Position Change,,chartevents,5723,Respiratory,,,,metavision,,Checkbox,
,,ETT Re-taped,,,227810,ETT Re-taped,,chartevents,5708,Respiratory,,,,metavision,,Checkbox,
,,Legal Guardian,,,226889,Legal Guardian,,chartevents,5693,General,,,,metavision,,Checkbox,
,,,,,50955,LIGHT GREEN TOP HOLD,,labevents,5597,CHEMISTRY,,BLOOD,,,,,
,,Site Length #6,,,224920,Impaired Skin Length #6,cm,chartevents,5594,Skin - Impairment,,,,metavision,,Numeric,
,,Site Width #6,,,224955,Impaired Skin Width #6,cm,chartevents,5579,Skin - Impairment,,,,metavision,,Numeric,
,,Indwelling Port placed in outside facility,,,227439,Ndwelling Port (PortaCath) placed in outside facility,,chartevents,5471,Access Lines - Invasive,,,,metavision,,Checkbox,
,,JP Lateral,,,226598,JP Lateral,mL,outputevents,5406,Drains,,,,metavision,,Numeric,
,,,,,51501,TRANSITIONAL EPITHELIAL CELLS,,labevents,5284,HEMATOLOGY,,URINE,30089-7,,,,
,,Mediastinal,,,226592,Mediastinal,mL,outputevents,5267,Output,,,,metavision,,Numeric,
,,,,,51213,FIBRIN DEGRADATION PRODUCTS,,labevents,5118,HEMATOLOGY,,BLOOD,30226-5,,,,
,,Collar Care,,,225192,Collar Care,,chartevents,5089,Treatments,,,,metavision,,Checkbox,
,,ART BP Alarm - Low,,,227538,ART Blood Pressure Alarm - Low,mmHg,chartevents,5058,Alarms,,,,metavision,,Numeric,
,,ART BP Alarm - High,,,227537,ART Blood Pressure Alarm - High,mmHg,chartevents,5040,Alarms,,,,metavision,,Numeric,
,,PA Catheter Zero/Calibrate,,,225358,PA Catheter Zero/Calibrate,,chartevents,5030,Access Lines - Invasive,,,,metavision,,Checkbox,
,,Phenytoin (Dilantin),,,227461,Phenytoin (Dilantin),None,chartevents,5006,Labs,,,,metavision,,Numeric with tag,
,,Arterial Line Tip Cultured,,,225722,Arterial Line Tip Cultured,,chartevents,4758,Access Lines - Invasive,,,,metavision,,Checkbox,
,,Drainage Bag,,,227701,Drainage Bag,mL,outputevents,4628,Drains,,,,metavision,,Numeric,
,,Odor #8,,,224929,Impaired Skin Odor #8,,chartevents,4552,Skin - Impairment,,,,metavision,,Checkbox,
D-Dimer,D-Dimer,,ready,,51196,D-DIMER,,labevents,4476,HEMATOLOGY,,BLOOD,48065-7,,,,
,,Site Depth #4,,,224897,Impaired Skin Depth #4,cm,chartevents,4405,Skin - Impairment,,,,metavision,,Numeric,
,,Bladder Pressure,,,223763,Bladder Pressure,mmHg,chartevents,4378,Routine Vital Signs,,,,metavision,,Numeric,
,,ICP Alarm - Low,,,223768,Intra Cranial Pressure Alarm - Low,mmHg,chartevents,4366,Alarms,,,,metavision,,Numeric,
,,,,,50965,PARATHYROID HORMONE,,labevents,4355,CHEMISTRY,,BLOOD,8/1/2731,,,,
,,PO2 (Venous),,,226063,Venous O2 Pressure,mmHg,chartevents,4314,Labs,,,,metavision,,Numeric,
,,ICP Alarm - High,,,223767,Intra Cranial Pressure Alarm - High,mmHg,chartevents,4294,Alarms,,,,metavision,,Numeric,
,,,,,50940,HEPATITIS B SURFACE ANTIBODY,,labevents,4175,CHEMISTRY,,BLOOD,8/1/5193,,,,
,,,,,50941,HEPATITIS B SURFACE ANTIGEN,,labevents,4020,CHEMISTRY,,BLOOD,1/1/5196,,,,
,,L Pleural #1,,,226590,L Pleural #1,mL,outputevents,3938,Output,,,,metavision,,Numeric,
,,Trauma Line Dressing Occlusive,,,227353,Trauma Line Dressing Occlusive,,chartevents,3933,Access Lines - Invasive,,,,metavision,,Checkbox,
,,,,,50866,AMMONIA,,labevents,3908,CHEMISTRY,,BLOOD,16362-6,,,,
,,R Pleural #1,,,226593,R Pleural #1,mL,outputevents,3882,Output,,,,metavision,,Numeric,
,,Multi Lumen Line Tip Cultured,,,225729,Multi Lumen Line Tip Cultured,,chartevents,3878,Access Lines - Invasive,,,,metavision,,Checkbox,
,,Site Length #7,,,224921,Impaired Skin Length #7,cm,chartevents,3865,Skin - Impairment,,,,metavision,,Numeric,
,,Site Width #7,,,224956,Impaired Skin Width #7,cm,chartevents,3865,Skin - Impairment,,,,metavision,,Numeric,
,,CCO PAC Zero/Calibrate,,,225228,CCO PAC Zero/Calibrate,,chartevents,3857,Access Lines - Invasive,,,,metavision,,Checkbox,
,,,,,51145,BASOPHILIC STIPPLING,,labevents,3849,HEMATOLOGY,,BLOOD,703-9,,,,
,,Trauma Line placed in outside facility,,,226119,Trauma Line placed in outside facility,,chartevents,3813,Access Lines - Invasive,,,,metavision,,Checkbox,
,,,,,50854,ABSOLUTE A1C,,labevents,3791,CHEMISTRY,,BLOOD,4/1/4548,,,,
,,,,,51103,UHOLD,,labevents,3749,CHEMISTRY,,URINE,,,,,
,,,,,51107,"URINE TUBE, HELD",,labevents,3749,CHEMISTRY,,URINE,,,,,
,,Fecal Bag,,,226580,Fecal Bag,mL,outputevents,3700,Output,,,,metavision,,Numeric,
,,,,,50974,PROSTATE SPECIFIC ANTIGEN,,labevents,3635,CHEMISTRY,,BLOOD,1/1/2857,,,,
,,OR EBL,,,226626,OR EBL,mL,outputevents,3541,Output,,,,metavision,,Numeric,
,,PCA bolus,,,224410,PCA bolus,None,chartevents,3517,Pain/Sedation,,,,metavision,,Numeric,
,,Gastric Tube,,,226573,Gastric Tube,mL,outputevents,3476,Output,,,,metavision,,Numeric,
,,Tunneled (Hickman) Dressing Occlusive,,,227359,Tunneled (Hickman) Dressing Occlusive,,chartevents,3476,Access Lines - Invasive,,,,metavision,,Checkbox,
,,,,,51148,BLASTS,,labevents,3456,HEMATOLOGY,,BLOOD,708-8,,,,
,,,,,50943,HEPATITIS C VIRUS ANTIBODY,,labevents,3399,CHEMISTRY,,BLOOD,16128-1,,,,
,,AVA Dressing Occlusive,,,227723,AVA Dressing Occlusive,,chartevents,3389,Access Lines - Invasive,,,,metavision,,Checkbox,
,,,,,50978,RAPAMYCIN,,labevents,3360,CHEMISTRY,,BLOOD,29247-4,,,,
,,,,,51120,MONOCYTES,,labevents,3345,HEMATOLOGY,,ASCITES,26488-7,,,,
,,,,,51125,POLYS,,labevents,3344,HEMATOLOGY,,ASCITES,26520-7,,,,
,,,,,50950,IMMUNOGLOBULIN G,,labevents,3320,CHEMISTRY,,BLOOD,3/1/2465,,,,
,,,,,50994,THYROXINE (T4),,labevents,3201,CHEMISTRY,,BLOOD,2/1/3026,,,,
,,GU Irrigant/Urine Volume Out,,,227489,GU Irrigant/Urine Volume Out,mL,outputevents,3175,Output,,,,metavision,,Numeric,
,,Emesis,,,226571,Emesis,mL,outputevents,3158,Output,,,,metavision,,Numeric,
,,GU Irrigant Volume In,,,227488,GU Irrigant Volume In,mL,outputevents,3157,Output,,,,metavision,,Numeric,
,,AVA Line placed in outside facility,,,227727,AVA Line placed in outside facility,,chartevents,3134,Access Lines - Invasive,,,,metavision,,Checkbox,
,,14 Gauge Dressing Occlusive,,,227365,14 Gauge Dressing Occlusive,,chartevents,3128,Access Lines - Peripheral,,,,metavision,,Checkbox,
,,Wound Vac #1,,,226613,Wound Vac #1,mL,outputevents,3126,Drains,,,,metavision,,Numeric,
,,Triglyceride,,,225693,Triglyceride,None,chartevents,3062,Labs,,,,metavision,,Numeric,
,,TF Residual Output,,,227511,TF Residual Output,mL,outputevents,3049,Output,,,,metavision,,Numeric,
,,14 Gauge placed in outside facility,,,226135,14 Gauge placed in outside facility,,chartevents,3045,Access Lines - Peripheral,,,,metavision,,Checkbox,
,,,,,50975,PROTEIN ELECTROPHORESIS,,labevents,3035,CHEMISTRY,,BLOOD,24351-9,,,,
,,,,,50900,CARCINOEMBYRONIC ANTIGEN (CEA),,labevents,3031,CHEMISTRY,,BLOOD,6/1/2039,,,,
,,Cortisol,,,227463,Cortisol,None,chartevents,2911,Labs,,,,metavision,,Numeric with tag,
,,Lumbar,,,226610,Lumbar,mL,outputevents,2890,Drains,,,,metavision,,Numeric,
,,PO2 (Mixed Venous),,,227516,PO2 (Mixed Venous),mmHg,chartevents,2859,Labs,,,,metavision,,Numeric,
,,Blood Transfusion Consent,,,226473,Blood Transfusion Consent,,chartevents,2828,General,,,,metavision,,Checkbox,
,,,,,50942,HEPATITIS B VIRUS CORE ANTIBODY,,labevents,2804,CHEMISTRY,,BLOOD,5187-0,,,,
,,ICP Line Zero/Calibrate,,,226134,ICP Line Zero/Calibrate,,chartevents,2801,Access Lines - Invasive,,,,metavision,,Checkbox,
,,Jackson Pratt #3,,,226601,Jackson Pratt #3,mL,outputevents,2798,Drains,,,,metavision,,Numeric,
,,,,,51292,SPHEROCYTES,,labevents,2783,HEMATOLOGY,,BLOOD,802-9,,,,
,,,,,50864,ALPHA-FETOPROTEIN,,labevents,2779,CHEMISTRY,,BLOOD,1/1/1834,,,,
,,,,,50949,IMMUNOGLOBULIN A,,labevents,2744,CHEMISTRY,,BLOOD,8/1/2458,,,,
,,Pigtail #1,,,226619,Pigtail #1,mL,outputevents,2727,Drains,,,,metavision,,Numeric,
,,Cuff Volume (mL),,,224418,Cuff Volume (mL),mL,chartevents,2705,Respiratory,,,,metavision,,Numeric,
,,,,,51008,VALPROIC ACID,,labevents,2689,CHEMISTRY,,BLOOD,5/1/4086,,,,
,,Ileoconduit,,,226584,Ileoconduit,mL,outputevents,2668,Output,,,,metavision,,Numeric,
,,Permanent Pacemaker Rate,,,224845,Permanent Pacemaker Rate,/min,chartevents,2666,Cardiovascular (Pacer Data),,,,metavision,,Numeric,
,,Temp Pacemaker Wires Ground,,,223963,Temporary Pacemaker Wires Ground,None,chartevents,2625,Cardiovascular (Pacer Data),,,,metavision,,Numeric,
,,,,,51450,MONOS,,labevents,2613,HEMATOLOGY,,PLEURAL,33362-5,,,,
,,,,,51455,POLYS,,labevents,2612,HEMATOLOGY,,PLEURAL,26519-9,,,,
,,Tunneled (Hickman) placed in outside facility,,,226121,Tunneled (Hickman) placed in outside facility,,chartevents,2612,Access Lines - Invasive,,,,metavision,,Checkbox,
,,,,,50951,IMMUNOGLOBULIN M,,labevents,2608,CHEMISTRY,,BLOOD,9/1/2472,,,,
,,Site Depth #5,,,224898,Impaired Skin Depth #5,cm,chartevents,2592,Skin - Impairment,,,,metavision,,Numeric,
,,CI (PiCCO),,,228177,CI (PiCCO),L/min/m2,chartevents,2568,PiCCO,,,,metavision,,Numeric,
,,,,,50927,GAMMA GLUTAMYLTRANSFERASE,,labevents,2530,CHEMISTRY,,BLOOD,2/1/2324,,,,
,,,,,51059,"TOTAL PROTEIN, PLEURAL",,labevents,2525,CHEMISTRY,,PLEURAL,9/1/2882,,,,
,,Suprapubic,,,226563,Suprapubic,mL,outputevents,2499,Output,,,,metavision,,Numeric,
,,,,,51269,PROMYELOCYTES,,labevents,2489,HEMATOLOGY,,BLOOD,781-5,,,,
,,Sheath Line Dressing Occlusive,,,227356,Sheath Line Dressing Occlusive,,chartevents,2439,Access Lines - Invasive,,,,metavision,,Checkbox,
,,,,,51131,ABSOLUTE CD4 COUNT,,labevents,2421,HEMATOLOGY,,BLOOD,1/1/8128,,,,
,,,,,51180,"CD4 CELLS, PERCENT",,labevents,2421,HEMATOLOGY,,BLOOD,3/1/8127,,,,
,,Site Length #8,,,224922,Impaired Skin Length #8,cm,chartevents,2414,Skin - Impairment,,,,metavision,,Numeric,
,,Site Width #8,,,224957,Impaired Skin Width #8,cm,chartevents,2398,Skin - Impairment,,,,metavision,,Numeric,
,,Odor #9,,,227604,Impaired Skin Odor #9,,chartevents,2355,Skin - Impairment,,,,metavision,,Checkbox,
,,Presep Catheter placed in outside facility,,,226116,Presep Catheter placed in outside facility,,chartevents,2345,Access Lines - Invasive,,,,metavision,,Checkbox,
,,,,,51176,"CD3 CELLS, PERCENT",,labevents,2333,HEMATOLOGY,,BLOOD,4/1/8122,,,,
,,,,,51134,ACANTHOCYTES,,labevents,2331,HEMATOLOGY,,BLOOD,1/1/7789,,,,
,,,,,51117,MACROPHAGE,,labevents,2280,HEMATOLOGY,,ASCITES,40517-5,,,,
,,Sheath placed in outside facility,,,226117,Sheath placed in outside facility,,chartevents,2273,Access Lines - Invasive,,,,metavision,,Checkbox,
,,,,,51001,TRIIODOTHYRONINE (T3),,labevents,2270,CHEMISTRY,,BLOOD,6/1/3053,,,,
,,,,,51130,ABSOLUTE CD3 COUNT,,labevents,2263,HEMATOLOGY,,BLOOD,8124-0,,,,
,,,,,51053,"GLUCOSE, PLEURAL",,labevents,2221,CHEMISTRY,,PLEURAL,5/1/2346,,,,
,,,,,51284,"RETICULOCYTE COUNT, MANUAL",,labevents,2173,HEMATOLOGY,,BLOOD,31112-6,,,,
,,,,,51070,"ALBUMIN/CREATININE, URINE",,labevents,2165,CHEMISTRY,,URINE,14958-3,,,,
,,FK506,,,227462,FK506,None,chartevents,2159,Labs,,,,metavision,,Numeric with tag,
,,,,,51132,ABSOLUTE CD8 COUNT,,labevents,2147,HEMATOLOGY,,BLOOD,8138-0,,,,
,,,,,51194,"CD8 CELLS, PERCENT",,labevents,2146,HEMATOLOGY,,BLOOD,2/1/8137,,,,
,,,,,51518,WBC CLUMPS,,labevents,2110,HEMATOLOGY,,URINE,,,,,
,,IABP placed in outside facility,,,226110,IABP placed in outside facility,,chartevents,2077,Access Lines - Invasive,,,,metavision,,Checkbox,
,,CPP Alarm - Low,,,227717,Cerebral Perfusion Pressure Alarm - Low,mmHg,chartevents,2065,Alarms,,,,metavision,,Numeric,
,,,,,51181,CD4/CD8 RATIO,,labevents,2062,HEMATOLOGY,,BLOOD,9/1/8129,,,,
,,,,,51118,MESOTHELIAL CELL,,labevents,2061,HEMATOLOGY,,ASCITES,30432-9,,,,
,,IABP Dressing Occlusive,,,227355,IABP Dressing Occlusive,,chartevents,2060,Access Lines - Invasive,,,,metavision,,Checkbox,
,,,,,51497,RENAL EPITHELIAL CELLS,,labevents,2058,HEMATOLOGY,,URINE,26052-1,,,,
,,,,,50805,CARBOXYHEMOGLOBIN,,labevents,2056,BLOOD GAS,,BLOOD,20563-3,,,,
,,,,,50814,METHEMOGLOBIN,,labevents,2047,BLOOD GAS,,BLOOD,6/1/2614,,,,
,,IABP Zero/Calibrate,,,225342,IABP Zero/Calibrate,,chartevents,2037,Access Lines - Invasive,,,,metavision,,Checkbox,
,,IABP Alarms Activated,,,225981,IABP Alarms Activated,,chartevents,2015,Access Lines - Invasive,,,,metavision,,Checkbox,
,,,,,50873,ANTI-NUCLEAR ANTIBODY,,labevents,2010,CHEMISTRY,,BLOOD,6/1/5047,,,,
,,CO (PiCCO),,,228178,CO (PiCCO),L/min,chartevents,1979,PiCCO,,,,metavision,,Numeric,
,,ScvO2 (Presep),,,227549,ScvO2 (Presep),%,chartevents,1970,Hemodynamics,,,,metavision,,Numeric,
,,,,,51436,POLYS,,labevents,1969,HEMATOLOGY,,OTHER BODY FLUID,26518-1,,,,
,,CPP Alarm - High,,,227716,Cerebral Perfusion Pressure Alarm - High,mmHg,chartevents,1967,Alarms,,,,metavision,,Numeric,
,,,,,51431,MONOS,,labevents,1966,HEMATOLOGY,,OTHER BODY FLUID,10330-9,,,,
,,Low risk (25-50) interventions,,,227348,Low risk (25-50) interventions,,chartevents,1966,Restraint/Support Systems,,,,metavision,,Checkbox,
,,IABP Volume,,,225980,IABP Volume,mL,chartevents,1944,Access Lines - Invasive,,,,metavision,,Numeric,
,,PICC Line Tip Cultured,,,225732,PICC Line Tip Cultured,,chartevents,1926,Access Lines - Invasive,,,,metavision,,Checkbox,
,,SVI (PiCCO),,,228182,SVI (PiCCO),mL/m2,chartevents,1926,PiCCO,,,,metavision,,Numeric,
,,,,,51175,CD3 ABSOLUTE COUNT,,labevents,1900,HEMATOLOGY,,BLOOD,4/1/8122,,,,
,,,,,51219,H/O SMEAR,,labevents,1880,HEMATOLOGY,,BLOOD,38924-7,,,,
,,Odor #10,,,227605,Impaired Skin Odor #10,,chartevents,1879,Skin - Impairment,,,,metavision,,Checkbox,
,,,,,50966,PHENOBARBITAL,,labevents,1871,CHEMISTRY,,BLOOD,9/1/3947,,,,
,,BiPap EPAP,,,227579,BiPap EPAP,cmH2O,chartevents,1868,Respiratory,,,,metavision,,Numeric,
,,BiPap O2 Flow,,,227582,BiPap O2 Flow,L/min,chartevents,1851,Respiratory,,,,metavision,,Numeric,
,,Site Depth #6,,,224899,Impaired Skin Depth #6,cm,chartevents,1847,Skin - Impairment,,,,metavision,,Numeric,
,,Family Meeting,,,224447,Family Meeting,,chartevents,1843,Restraint/Support Systems,,,,metavision,,Checkbox,
,,GI Guaiac QC,,,227802,GI Guaiac QC,,chartevents,1814,GI/GU,,,,metavision,,Checkbox,
,,,,,50849,"TOTAL PROTEIN, ASCITES",,labevents,1805,CHEMISTRY,,ASCITES,7/1/2883,,,,
,,,,,51098,"PROT. ELECTROPHORESIS, URINE",,labevents,1780,CHEMISTRY,,URINE,13438-7,,,,
,,,,,51259,OTHER CELLS,,labevents,1762,HEMATOLOGY,,BLOOD,729-4,,,,
,,Cerebral Ventricular #2,,,226607,Cerebral Ventricular #2,mL,outputevents,1729,Drains,,,,metavision,,Numeric,
,,Patient/Family Informed_V1,,,224855,Patient/Family Informed_V1,,chartevents,1700,Restraint/Support Systems,,,,metavision,,Checkbox,
,,Rectal Tube,,,226583,Rectal Tube,mL,outputevents,1660,Output,,,,metavision,,Numeric,
,,Uric Acid,,,225695,Uric Acid,None,chartevents,1656,Labs,,,,metavision,,Numeric,
,,,,,51197,ELLIPTOCYTES,,labevents,1606,HEMATOLOGY,,BLOOD,1/1/6681,,,,
,,,,,50944,HIV ANTIBODY,,labevents,1597,CHEMISTRY,,BLOOD,9/1/5220,,,,
,,BiPap IPAP,,,227580,BiPap IPAP,cmH2O,chartevents,1590,Respiratory,,,,metavision,,Numeric,
,,Epidural Bolus (mL),,,224411,Epidural Bolus (mL),mL,chartevents,1584,Pain/Sedation,,,,metavision,,Numeric,
,,,,,51216,FRAGMENTED CELLS,,labevents,1552,HEMATOLOGY,,BLOOD,10373-9,,,,
,,,,,51447,MACROPHAGES,,labevents,1528,HEMATOLOGY,,PLEURAL,40520-9,,,,
,,,,,51448,MESOTHELIAL CELLS,,labevents,1511,HEMATOLOGY,,PLEURAL,30431-1,,,,
,,HDL,,,220624,HDL,None,chartevents,1510,Labs,,,,metavision,,Numeric,
,,14 Gauge placed in the field,,,228097,14 Gauge placed in the field,,chartevents,1507,Access Lines - Peripheral,,,,metavision,,Checkbox,
,,SVRI (PiCCO),,,228185,SVRI (PiCCO),dynes.sec.cm-5/m2,chartevents,1506,PiCCO,,,,metavision,,Numeric,
,,,,,50937,HEPATITIS A VIRUS ANTIBODY,,labevents,1494,CHEMISTRY,,BLOOD,9/1/5183,,,,
,,Hemovac #1,,,226604,Hemovac #1,mL,outputevents,1490,Drains,,,,metavision,,Numeric,
,,R Nephrostomy,,,226564,R Nephrostomy,mL,outputevents,1455,Output,,,,metavision,,Numeric,
,,ACT,,,220507,Activated Clotting Time,None,chartevents,1448,Labs,,,,metavision,,Numeric,
,,T Tube,,,226603,T Tube,mL,outputevents,1439,Drains,,,,metavision,,Numeric,
,,,,,51469,CALCIUM OXALATE CRYSTALS,,labevents,1420,HEMATOLOGY,,URINE,5/1/5774,,,,
,,LDL calculated,,,225671,LDL calculated,None,chartevents,1414,Labs,,,,metavision,,Numeric,
,,,,,50857,ACETONE,,labevents,1409,CHEMISTRY,,BLOOD,3/1/5567,,,,
,,Digoxin,,,227440,Digoxin,None,chartevents,1403,Labs,,,,metavision,,Numeric with tag,
,,Site Length #9,,,227602,Impaired Skin Length #9,cm,chartevents,1367,Skin - Impairment,,,,metavision,,Numeric,
,,SVV (PiCCO),,,228184,SVV (PiCCO),%,chartevents,1366,PiCCO,,,,metavision,,Numeric,
,,,,,50891,C4,,labevents,1352,CHEMISTRY,,BLOOD,2/1/4498,,,,
,,Site Width #9,,,227614,Impaired Skin Width #9,cm,chartevents,1315,Skin - Impairment,,,,metavision,,Numeric,
,,Cordis/Introducer Line Tip Cultured,,,225724,Cordis/Introducer Line Tip Cultured,,chartevents,1301,Access Lines - Invasive,,,,metavision,,Checkbox,
,,,,,50890,C3,,labevents,1290,CHEMISTRY,,BLOOD,9/1/4485,,,,
,,,,,51147,BITE CELLS,,labevents,1287,HEMATOLOGY,,BLOOD,10371-3,,,,
,,,,,50997,TOBRAMYCIN,,labevents,1282,CHEMISTRY,,BLOOD,35670-9,,,,
,,Restraints Ordered,,,224856,Restraints Ordered,,chartevents,1267,Restraint/Support Systems,,,,metavision,,Checkbox,
,,,,,50843,"LACTATE DEHYDROGENASE, ASCITES",,labevents,1243,CHEMISTRY,,ASCITES,2/1/2531,,,,
,,GEDI (PiCCO),,,228180,GEDI (PiCCO),mL/m2,chartevents,1236,PiCCO,,,,metavision,,Numeric,
,,Tobacco use,,,225108,Tobacco use,,chartevents,1197,Adm History/FHPA,,,,metavision,,Checkbox,
,,,,,50915,D-DIMER,,labevents,1192,CHEMISTRY,,BLOOD,,,,,
,,,,,50842,"GLUCOSE, ASCITES",,labevents,1186,CHEMISTRY,,ASCITES,3/1/2347,,,,
,,ELWI (PiCCO),,,228179,ELWI (PiCCO),ml/kg,chartevents,1184,PiCCO,,,,metavision,,Numeric,
,,L Nephrostomy,,,226565,L Nephrostomy,mL,outputevents,1179,Output,,,,metavision,,Numeric,
,,,,,51108,URINE VOLUME,,labevents,1174,CHEMISTRY,,URINE,28009-9,,,,
,,Pheresis Catheter Dressing Occlusive,,,227362,Pheresis Catheter Dressing Occlusive,,chartevents,1166,Access Lines - Invasive,,,,metavision,,Checkbox,
,,Pheresis Catheter placed in outside facility,,,226122,Pheresis Catheter placed in outside facility,,chartevents,1145,Access Lines - Invasive,,,,metavision,,Checkbox,
,,Brain Natiuretic Peptide (BNP),,,227446,Brain Natiuretic Peptide (BNP),None,chartevents,1141,Labs,,,,metavision,,Numeric with tag,
,,PAR-Remain sedated,,,228233,PAR-Remain sedated,,chartevents,1137,Routine Vital Signs,,,,metavision,,Checkbox,
,,,,,51428,MACROPHAGE,,labevents,1078,HEMATOLOGY,,OTHER BODY FLUID,12230-9,,,,
,,,,,50836,"AMYLASE, ASCITES",,labevents,1059,CHEMISTRY,,ASCITES,1797-0,,,,
,,,,,51513,URINE SPECIMEN TYPE,,labevents,1059,HEMATOLOGY,,URINE,19159-3,,,,
,,Jackson Pratt #4,,,226602,Jackson Pratt #4,mL,outputevents,1059,Drains,,,,metavision,,Numeric,
,,,,,51505,URIC ACID CRYSTALS,,labevents,1057,HEMATOLOGY,,URINE,2/1/5817,,,,
,,IC2,,,227989,Intra Cranial Pressure #2,mmHg,chartevents,1052,Hemodynamics,,,,metavision,,Numeric,
,,Presep Catheter Zero/Calibrate,,,225389,Presep Catheter Zero/Calibrate,,chartevents,1025,Access Lines - Invasive,,,,metavision,,Checkbox,
,,,,,51095,"PHOSPHATE, URINE",,labevents,1019,CHEMISTRY,,URINE,9/1/2778,,,,
,,P High (APRV),,,224705,P High (APRV),cmH2O,chartevents,1006,Respiratory,,,,metavision,,Numeric,
,,Medication Infusion Rate,,,227812,Medication Infusion Rate - Adjunctive Pain Management,None,chartevents,1006,Pain/Sedation,,,,metavision,,Numeric,
,,CFI (PiCCO),,,228176,CFI (PiCCO),L/min,chartevents,996,PiCCO,,,,metavision,,Numeric,
,,AVA Line Zero/Calibrate,,,227731,AVA Line Zero/Calibrate,,chartevents,991,Access Lines - Invasive,,,,metavision,,Checkbox,
,,T High (APRV),,,224707,T High (APRV),sec,chartevents,981,Respiratory,,,,metavision,,Numeric,
,,P Low (APRV),,,224706,P Low (APRV),cmH2O,chartevents,976,Respiratory,,,,metavision,,Numeric,
,,T Low (APRV),,,224709,T Low (APRV),sec,chartevents,971,Respiratory,,,,metavision,,Numeric,
,,MDI #3 Puff,,,224175,MDI #3 Puff,None,chartevents,970,Respiratory,,,,metavision,,Numeric,
,,QTc,,,224359,QTc,sec,chartevents,967,Routine Vital Signs,,,,metavision,,Numeric,
,,,,,50968,"PHENYTOIN, FREE",,labevents,960,CHEMISTRY,,BLOOD,3/1/3969,,,,
,,Epidural Total Dose (mL),,,224367,Epidural Total Dose (mL),mL,chartevents,953,Pain/Sedation,,,,metavision,,Numeric,
,,,,,51261,PAPPENHEIMER BODIES,,labevents,943,HEMATOLOGY,,BLOOD,8/1/7795,,,,
,,Central Venous O2% Sat,,,227686,Central Venous O2% Sat,%,chartevents,915,Labs,,,,metavision,,Numeric,
,,,,,50969,"PHENYTOIN, PERCENT FREE",,labevents,895,CHEMISTRY,,BLOOD,10548-6,,,,
,,Site Length #10,,,227603,Impaired Skin Length #10,cm,chartevents,891,Skin - Impairment,,,,metavision,,Numeric,
,,,,,50957,LITHIUM,,labevents,890,CHEMISTRY,,BLOOD,2/1/3719,,,,
,,,,,50892,CA-125,,labevents,889,CHEMISTRY,,BLOOD,10334-1,,,,
,,,,,50899,CARBAMAZEPINE,,labevents,882,CHEMISTRY,,BLOOD,2/1/3432,,,,
Cardiac Index,,Cardiac Index (CI NICOM),ready,,228368,Cardiac Index (CI NICOM),L/min/m2,chartevents,880,NICOM,,,,metavision,,Numeric,
,,,,,50946,HUMAN CHORIONIC GONADOTROPIN,,labevents,872,CHEMISTRY,,BLOOD,6/1/2119,,,,
,,Pericardial,,,226612,Pericardial,mL,outputevents,869,Drains,,,,metavision,,Numeric,
,,GI pH,,,227586,GI pH,None,chartevents,863,GI/GU,,,,metavision,,Numeric,
Negative Insp. Force,Negative Insp. Force,Negative Insp. Force,ready,,224419,Negative Insp. Force,cmH2O,chartevents,858,Respiratory,,,,metavision,,Numeric,
,,Site Depth #7,,,224900,Impaired Skin Depth #7,cm,chartevents,849,Skin - Impairment,,,,metavision,,Numeric,
,,Site Width #10,,,227615,Impaired Skin Width #10,cm,chartevents,843,Skin - Impairment,,,,metavision,,Numeric,
,,,,,50980,RHEUMATOID FACTOR,,labevents,834,CHEMISTRY,,BLOOD,6/1/6928,,,,
,,,,,51231,HOWELL-JOLLY BODIES,,labevents,829,HEMATOLOGY,,BLOOD,3/1/7793,,,,
,,,,,50948,IMMUNOFIXATION,,labevents,815,CHEMISTRY,,BLOOD,49275-1,,,,
,,,,,50945,HOMOCYSTEINE,,labevents,812,CHEMISTRY,,BLOOD,13965-9,,,,
,,,,,50872,ANTI-NEUTROPHIL CYTOPLASMIC ANTIBODY,,labevents,794,CHEMISTRY,,BLOOD,35279-9,,,,
,,,,,51086,"IMMUNOFIXATION, URINE",,labevents,791,CHEMISTRY,,URINE,49276-9,,,,
Total Protein,Total Protein,Total Protein,ready,,220650,Total Protein,None,chartevents,785,Labs,,,,metavision,,Numeric,
,,Pump Speed,,,228195,Pump Speed,None,chartevents,780,Tandem Heart,,,,metavision,,Numeric,
